Bureau,Gender,Grade,Title,Name,YearsService
South and Central Asian Affairs (SCA),female,N/A,Manager,Julie Given  ,18
Intelligence and Research (INR),male,GS-10,Team Member,Dave Wales,22
Allowances (A/OPR/ALS),female,GS-11,Team Member,Hooker  ,21
Near Eastern Affairs (NEA),female,FS2,Manager,Heather Philips  ,23
Inspector General (OIG),male,FS-6,Team Member,Luke Barron     ,22
Medical Services (MED),male,FS7,Team Member,William Baker    ,7
Trafficking in Persons (TIP),male,N/A,Manager,Jake Stancil,2
Policy Planning Staff (S/P),female,FS-2,Mgmt,     Yvette Ahrens,9
"Democracy, Human Rights, and Labor (DRL)",female,GS-10,Team Member,Helen Lewicki,10
Consular Affairs (CA),male,FS-6,Team Member, Jerome Cassidy   ,14
"Democracy, Human Rights, and Labor (DRL)",male,N/A,Team Member,Patrick Roberts ,4
Inspector General (OIG),male,N/A,Team Member,Michael Lawson,21
Economic and Business Affairs (EB),female,GS12,Team Member,Elizabeth Harvey,15
Political-Military Affairs (PM),male,GS-13,Manager,    Paul Abraham,25
Human Resources (DGHR),male,GS-9,Team Member,Issac Castillo,2
Legislative Affairs (H),female,FS 5,Team Member,Margaret Wall,6
Trafficking in Persons (TIP),female,GS-10,Team Member,   Dora Davis,22
"Democracy, Human Rights, and Labor (DRL)",female,N/A,Team Member,Titus,19
Administration (A),female,N/A,Manager,Nancy Bell,18
Conflict and Stabilization Operations (CSO),male,SFS-2,Executive,Juan Peterson   ,18
Near Eastern Affairs (NEA),female,N/A,Manager, Darlene Atwell,18
European and Eurasian Affairs (EUR),male,GS-15,Manager,Alexander Tomaszewski,24
Diplomatic Security (DS),male,GS-7,Team Member,John Binkley,18
Director General of the Foreign Service and Director of Human Resources (DGHR),male,GS-8,Team Member,Robert Hendricks   ,22
Director General of the Foreign Service and Director of Human Resources (DGHR),male,GS12,Team Member,Kevin Flynn,23
Foreign Missions (OFM),male,N/A,Manager,  Byron Rusk,20
East Asian and Pacific Affairs (EAP),male,N/A,Team Member,Allen Mercer,1
Conflict and Stabilization Operations (CSO),male,FS-6,Team Member,Charles Wyant    ,24
Information Resource Management (IRM),female,FS-6,Team Member,  Magaret Wood,4
Human Resources (DGHR),female,N/A,Team Member,Michelle Johnson,6
East Asian and Pacific Affairs (EAP),male,FS-6,Team Member,Jeffrey Guillen,8
Legislative Affairs (H),male,FS-4,Team Member,Joseph Brown  ,25
Foreign Assistance (F),female,GS-13,Manager,Nora Jordan     ,8
Executive Secretariat (S/ES),female,FS-5,Team Member,Sasha Belcher,23
Public Affairs (PA),male,FS-7,Team Member,Barrett,25
Executive Secretariat (S/ES),male,GS-15,Manager,Michael Ouellette,2
Human Resources (DGHR),male,FS-9,Team Member,Russo,1
Director General of the Foreign Service and Director of Human Resources (DGHR),female,FS-3,Manager,Toni Zuber,19
Global Youth Issues (GYI),male,GS-15,Manager,Street,18
Policy Planning Staff (S/P),male,GS15,Mgmt,Dustin Lloyd,7
Global Youth Issues (GYI),female,FS-2,Mgmt,Pattie Rodriguez,16
Human Resources (DGHR),female,N/A,Team Member,Mary Orms,25
Economic and Business Affairs (EB),female,FS-8,Team Member, Wilma Kell,25
Conflict and Stabilization Operations (CSO),male,GS-9,Team Member,Marvin Jones,12
International Security and Nonproliferation (ISN),female,FS-4,Team Member,Cary Crowe,6
International Information Programs (IIP),male,FS-8,Team Member,Michael Mendosa,8
Educational and Cultural Affairs (ECA),male,FS-6,Team Member,  Charles Mullen,19
Energy Resources (ENR),male,FS-1,Manager,Mark Rone,25
Human Resources (DGHR),female,FS-9,Team Member,Christal Maloy,2
Administration (A),male,N/A,Team Member,   John Crowl,14
Diplomatic Security (DS),female,GS-8,Team Member,   Helen Johnson,7
Oceans and International Environmental and Scientific Affairs(OES),female,FS 7,Team Member,Barbara Wolf,1
Oceans and International Environmental and Scientific Affairs(OES),female,N/A,Team Member,Rhonda Helms,8
East Asian and Pacific Affairs (EAP),female,N/A,Manager,    Rose Melendez,22
Foreign Missions (OFM),female,GS-7,Team Member,Dunford,17
Human Resources (DGHR),male,GS 13,Team Member,Harry Carr,9
Administration (A),male,GS-10,Team Member,Jeffrey Fraizer,6
Director General of the Foreign Service and Director of Human Resources (DGHR),female,SFS3,Executive, Charlotte Evans,18
Director General of the Foreign Service and Director of Human Resources (DGHR),male,GS15,Manager,Vernon Browning ,22
International Security and Nonproliferation (ISN),female,FS-8,Team Member,Sarah Mcdavid,3
Executive Secretariat (S/ES),male,FS-7,Team Member,     John Taylor,12
Chief Information Officer (CIO),female,GS 13,Manager,Trisha Kunze,3
Administration (A),female,GS-9,Team Member,Jannie Wuest   ,21
Protocol (S/CPR),female,N/A,Team Member,Thompson,9
Medical Services (MED),female,FS-2,Manager,Patricia Simonetti     ,13
Oceans and International Environmental and Scientific Affairs(OES),female,FS-7,Team Member,Bogucki,21
Director General of the Foreign Service and Director of Human Resources (DGHR),female,GS-13,Manager,Eileen Shrader,20
Executive Secretariat (S/ES),female,N/A,Team Member,Megan Hunter     ,22
Information Resource Management (IRM),female,SES 2,Executive,Lisa Mcginley   ,21
Executive Secretariat (S/ES),male,FS1,Manager,Norris,22
International Security and Nonproliferation (ISN),female,GS-9,Team Member,Jacqueline White,13
Policy Planning Staff (S/P),female,GS8,Team Member,Jessica Beckett,8
Foreign Assistance (F),female,FS-9,Team Member,  Anna Vaughn  ,11
Legislative Affairs (H),female,SFS-4,Executive,Diane Johnson,24
Trafficking in Persons (TIP),female,FS 1,Manager,Ellen Henslee,16
Information Resource Management (IRM),female,GS-12,Team Member,   Anne Warrington    ,6
Global Youth Issues (GYI),male,N/A,Manager,Gordon Gainer    ,7
Foreign Assistance (F),male,GS14,Manager,  Leslie Purcell,16
Director General of the Foreign Service and Director of Human Resources (DGHR),female,GS-15,Manager,Charlene Edwards,18
European and Eurasian Affairs (EUR),male,N/A,Team Member,Clos,25
Global Women's Issues (S/GWI),female,GS-13,Team Member,Tracy Emch    ,2
Oceans and International Environmental and Scientific Affairs(OES),male,FS-9,Team Member,Eddie Ahner,2
Administration (A),female,FS-1,Manager,Susan Pulido,19
Global AIDS Coordinator (S/GAC),male,GS14,Mgmt,Jeremy Feauto,25
Administration (A),female,GS-9,Team Member,Sandra Newman,21
"Democracy, Human Rights, and Labor (DRL)",female,N/A,Team Member,    Wendie Swain,8
Conflict and Stabilization Operations (CSO),male,GS-12,Team Member,Richie Rhodes,8
"Policy, Planning, and Resources for Public Diplomacy and Public Affairs (PPR)",female,FS-6,Team Member,Rachael Shaw,2
Educational and Cultural Affairs (ECA),female,FS-7,Analyst,Joan Congdon  ,14
Comptroller and Global Financial Services (CGFS),male,FS-5,Team Member,   Jose Gourdine,10
International Narcotics and Law Enforcement Affairs (INL),female,FS-3,Manager,    Bonnie Lopez    ,17
Counterterrorism (CT),male,FS-8,Team Member,Morris  ,17
Human Resources (DGHR),female,GS-14,Manager,Joan Valadez,5
Counterterrorism (CT),female,FS-8,Team Member,Shannon Koester ,5
East Asian and Pacific Affairs (EAP),male,FS-8,Team Member,Frederick Mcadory,18
Inspector General (OIG),female,N/A,Manager, Bernice Lenis,25
Director General of the Foreign Service and Director of Human Resources (DGHR),male,SES-4,Executive,Scott Thompson,25
Foreign Missions (OFM),female,FS-4,Team Member,Priscilla Taylor,2
Foreign Missions (OFM),male,N/A,Manager,   Sid Pockrus,24
Counterterrorism (CT),male,FS-4,Analyst,John Chavez,8
"Democracy, Human Rights, and Labor (DRL)",male,FS-3,Manager,Samuel Ruiz,21
International Narcotics and Law Enforcement Affairs (INL),male,FS-8,Team Member,Martin Wilks,9
Mission to the United Nations (USUN),female,GS-15,Manager,Stallings,16
Budget and Planning (BP),male,GS-11,Analyst,Charles Benson,18
Oceans and International Environmental and Scientific Affairs(OES),male,GS 7,Team Member,John Turner,11
Global Criminal Justice (GCJ),male,GS-8,Analyst,Guadalupe Stanely,15
"Arms Control, Verification and Compliance (AVC)",male,N/A,Team Member,James Wages    ,4
Economic and Business Affairs (EB),female,GS-7,Analyst, Sharron Arthurs,3
Global Criminal Justice (GCJ),male,FS-3,Manager,Bernard Howell     ,20
Executive Secretariat (S/ES),female,N/A,Manager, Camille Ponce    ,21
Administration (A),male,GS-9,Team Member,  Brian Adams,22
African Affairs (AF),female,FS-1,Manager,Marlene Culbreath,3
Policy Planning Staff (S/P),female,GS-13,Manager,    Jean Cortez,7
Medical Services (MED),male,FS-9,Team Member,  James Jordan  ,7
Mission to the United Nations (USUN),male,GS 15,Manager,Buford Wilson,16
"Democracy, Human Rights, and Labor (DRL)",female,N/A,Team Member,Mildred Evans,13
Conflict and Stabilization Operations (CSO),female,GS 7,Team Member,Barefoot  ,6
Science & Technology Adviser (STAS),female,N/A,Team Member,Nancy Woody,4
Counterterrorism (CT),female,GS15,Manager,Maria Heath,10
Mission to the United Nations (USUN),male,FS-4,Team Member,     Larry Sperling ,20
Global Youth Issues (GYI),female,GS-13,Manager,Wilma Khachatoorian,23
Administration (A),male,FS7,Team Member,    Luis Cornish ,6
Counterterrorism (CT),male,N/A,Team Member,Alejandro Baker,3
International Security and Nonproliferation (ISN),male,GS-9,Team Member,Jason Fisher,1
"Democracy, Human Rights, and Labor (DRL)",male,N/A,Team Member,     Richard Hernandez,18
Mission to the United Nations (USUN),female,GS 12,Team Member, Anita Most,23
Foreign Missions (OFM),male,N/A,Team Member,   Emmitt Schrock,21
Protocol (S/CPR),male,GS-15,Manager,    Paul Herrington,20
Legislative Affairs (H),male,N/A,Manager,Julio Hodges,24
Science & Technology Adviser (STAS),female,FS-7,Analyst,Blanche Deal,24
Global Youth Issues (GYI),male,GS-11,Analyst,Cleveland Bush,14
Director General of the Foreign Service and Director of Human Resources (DGHR),male,FS-9,Team Member,Mark Jagow     ,21
Global Engagement Center(GEC),male,FS-7,Team Member,Charles Campbell,4
Counterterrorism (CT),female,N/A,Team Member,Parks ,14
Oceans and International Environmental and Scientific Affairs(OES),male,GS-13,Team Member,Robert Wilhelmsen,7
Protocol (S/CPR),male,FS-3,Manager,Ryan Williams     ,4
Overseas Buildings Operations (OBO),female,N/A,Manager,  Brenda Ingram ,7
"Democracy, Human Rights, and Labor (DRL)",female,FS-5,Team Member,Edith Peller,20
Counterterrorism (CT),male,FS-8,Team Member,Tyrone Richards     ,20
Information Resource Management (IRM),female,FS-6,Team Member,    Joann Reid,14
Overseas Buildings Operations (OBO),male,FS 1,Manager,Gary Burke,18
Administration (A),male,FS-6,Team Member,Ned Keehn ,3
Educational and Cultural Affairs (ECA),male,FS-7,Team Member,Albert Scott,13
Human Resources (DGHR),male,SES-1,Executive, Roy Vu,20
International Narcotics and Law Enforcement Affairs (INL),male,N/A,Manager,   Thomas Holeman,4
Legislative Affairs (H),female,N/A,Team Member,Harwell ,12
Foreign Missions (OFM),male,FS-4,Team Member,Hubert Wayland    ,13
International Organization Affairs (IO),male,FS5,Team Member,    Robert Ostrye,25
International Organization Affairs (IO),male,FS-5,Team Member,     David Lary,10
Director General of the Foreign Service and Director of Human Resources (DGHR),male,FS-7,Team Member,Ronnie Chamness,14
Director General of the Foreign Service and Director of Human Resources (DGHR),female,FS-6,Team Member,Irene Davis     ,16
Human Resources (DGHR),female,FS-6,Team Member,Robin Williams,22
Protocol (S/CPR),female,FS 5,Analyst,Landers,17
Human Resources (DGHR),male,GS-10,Team Member,Jamie White,14
Protocol (S/CPR),male,N/A,Team Member, Geraldo Jennings,2
Conflict and Stabilization Operations (CSO),female,N/A,Team Member,   Janel Diaz     ,5
Legislative Affairs (H),male,GS15,Manager,Kenneth Martin,24
Conflict and Stabilization Operations (CSO),female,FS-4,Team Member,Connie Kenney  ,20
International Security and Nonproliferation (ISN),male,N/A,Team Member,James Gardner   ,20
"Democracy, Human Rights, and Labor (DRL)",female,FS-7,Team Member,  Lorie Watts,17
Mission to the United Nations (USUN),male,GS-7,Team Member,Jeffrey Leonelli,10
Consular Affairs (CA),male,GS-15,Manager,    Thomas Huddleston,20
International Organization Affairs (IO),female,GS-8,Team Member,    Brain  ,11
Oceans and International Environmental and Scientific Affairs(OES),female,GS-12,Team Member,Judy Jones,11
Educational and Cultural Affairs (ECA),male,N/A,Team Member,  Hudgens,12
"Management Policy, Rightsizing and Innovation (PRI)",female,N/A,Manager,Marissa Gaona,12
East Asian and Pacific Affairs (EAP),male,FS-5,Team Member,James Stannard,15
Medical Services (MED),male,FS-8,Team Member,  Dustin Brock,7
Chief Information Officer (CIO),female,FS1,Manager,   Jeanmarie Livesay  ,13
Diplomatic Security (DS),female,FS 9,Team Member,Hazel Wade     ,10
Inspector General (OIG),male,N/A,Manager,Tim Gransberry    ,23
Mission to the United Nations (USUN),female,FS-9,Team Member,Nila Campbell     ,15
Educational and Cultural Affairs (ECA),male,FS-9,Team Member,Agustin Pingrey  ,20
"Policy, Planning, and Resources for Public Diplomacy and Public Affairs (PPR)",male,FS-8,Team Member,Glen Hall    ,19
Administration (A),female,N/A,Analyst,Bowen,11
"Management Policy, Rightsizing and Innovation (PRI)",male,GS-8,Team Member,Trent Thomas,6
International Organization Affairs (IO),male,FS-3,Manager,Willie Deer,23
"Democracy, Human Rights, and Labor (DRL)",male,N/A,Manager,Adam Brooks     ,23
Legislative Affairs (H),male,FS-3,Manager,   Melvin Beaman,4
Conflict and Stabilization Operations (CSO),female,GS-12,Team Member,Kaylee Garza   ,22
"Democracy, Human Rights, and Labor (DRL)",female,FS-9,Team Member,Krista Holland,1
Executive Secretariat (S/ES),male,GS14,Manager,Joseph Bell     ,14
Energy Resources (ENR),male,GS 14,Mgmt,Mark Thong,9
Consular Affairs (CA),female,N/A,Team Member,Amanda Rivera    ,5
Science & Technology Adviser (STAS),male,FS-1,Manager,Aaron Shepard,8
International Security and Nonproliferation (ISN),male,FS-2,Manager,Chris Higgins,13
"Democracy, Human Rights, and Labor (DRL)",female,GS-11,Team Member,Amanda Williams  ,17
Science & Technology Adviser (STAS),male,N/A,Team Member,Joseph Smith,16
Administration (A),female,FS-3,Manager,Mabie    ,14
"Democracy, Human Rights, and Labor (DRL)",female,FS-3,Manager,Kerry Holloway,20
Public Affairs (PA),female,N/A,Team Member,Christie Plummer,25
"Policy, Planning, and Resources for Public Diplomacy and Public Affairs (PPR)",female,FS-7,Team Member,Jane Nordin   ,12
Oceans and International Environmental and Scientific Affairs(OES),male,GS-15,Manager,     Mike Adams,6
Inspector General (OIG),female,GS-10,Team Member,Barbara Brady,9
East Asian and Pacific Affairs (EAP),female,GS-15,Manager,Odette Foote,8
Global Youth Issues (GYI),male,FS-1,Manager,Tony Everett,15
Conflict and Stabilization Operations (CSO),male,N/A,Team Member,Michael Bowman,16
Administration (A),male,FS-9,Team Member,John Lee,13
Diplomatic Security (DS),female,FS-7,Team Member,  Sandy Jones   ,14
Director General of the Foreign Service and Director of Human Resources (DGHR),male,FS-3,Manager, David Kaiser ,19
Energy Resources (ENR),male,FS-2,Manager,John Schaedler,16
"Management Policy, Rightsizing and Innovation (PRI)",female,FS7,Analyst,Carmella Turner,16
Director General of the Foreign Service and Director of Human Resources (DGHR),female,N/A,Team Member,   Laura Olsen,25
Global Youth Issues (GYI),male,FS9,Team Member,    Christopher Favero,2
Legislative Affairs (H),male,FS4,Team Member,Richard Neal  ,5
Budget and Planning (BP),female,FS 9,Team Member,Bernice Dahlke    ,5
Executive Secretariat (S/ES),female,GS-11,Team Member,Madeline Smith,11
Mission to the United Nations (USUN),male,FS1,Manager,Richard Russo,23
Economic and Business Affairs (EB),female,N/A,Team Member,Nancy Alexander,17
Administration (A),male,FS-4,Team Member,Antonio Simmons,4
Human Resources (DGHR),male,FS-4,Team Member,David Humphrys,4
International Information Programs (IIP),male,N/A,Team Member,Howard Wallace,4
Chief Information Officer (CIO),female,GS 13,Manager,Agnes Gray,20
South and Central Asian Affairs (SCA),female,GS 12,Team Member,Agnes Isola     ,13
Oceans and International Environmental and Scientific Affairs(OES),female,FS-1,Manager,    Janet Scott,2
International Information Programs (IIP),female,FS-3,Mgmt,Gladys Lightle,4
Medical Services (MED),male,FS-5,Team Member,Arthur Miller,4
Human Resources (DGHR),male,FS9,Team Member, Gerald Lizaola,4
Science & Technology Adviser (STAS),male,FS 3,Manager,David Harris ,14
Policy Planning Staff (S/P),female,N/A,Team Member,Evelyn Dain  ,18
Human Resources (DGHR),female,FS-2,Manager,     Johnson,5
Protocol (S/CPR),male,FS-2,Manager,    Tommy Spiegel,20
Chief Information Officer (CIO),male,N/A,Manager,Kevin Grice ,13
International Security and Nonproliferation (ISN),female,FS-5,Team Member,   Goodwin,12
Administration (A),female,N/A,Team Member, Wanda Grissom,14
"Democracy, Human Rights, and Labor (DRL)",male,FS 1,Manager, Matthew Parson,11
Executive Secretariat (S/ES),female,GS-8,Team Member, Norman,7
International Information Programs (IIP),male,FS8,Team Member,James Burt ,16
Global Youth Issues (GYI),female,N/A,Manager,Ruth Fritts,4
