Bureau,Gender,Grade,Name,Skills,YearsService
Science & Technology Adviser (STAS),male,FS-4,Carlos Bone,"powerpoint, Human Resources, communications, Editing, Marketing, Hydrology, Planning, Research, Finance",14
"Policy, Planning, and Resources for Public Diplomacy and Public Affairs (PPR)",male,N/A,Irwin Olson ,"operations, French, SEO, Administration, Japanese, Planning, finance, German, Design, IT, engineering",11
Economic and Business Affairs (EB),female,GS12,Lori Knowles,"Visualization, Data Analysis, Planning, climatology, Marketing, healthcare, Economics, Disease Response, Budget, email",7
International Narcotics and Law Enforcement Affairs (INL),female,N/A,Davis,"Chinese, Research, IT, healthcare",18
Legislative Affairs (H),female,FS-5,     Cathryn Cronin     ,"Writing, Education, Communications, Training, it, Japanese, Hydrology, editing, Administration, Graphics, Sharepoint",24
Foreign Service Institute (FSI),female,GS12,Jean Dean,"Tourism, training, Communications, German, Human Resources, Email, Planning, Operations, Social Media, Excel, Foreign Policy, Hydrology",1
Legislative Affairs (H),female,FS-5,Gladys Womack,"Foreign Policy, Cloud Computing, Administration",7
Mission to the United Nations (USUN),female,GS-10,Jennifer Miller    ,"Education, Visualization, Disease Response, Graphics, powerpoint",18
International Narcotics and Law Enforcement Affairs (INL),male,FS 2,Thomas Mcelroy,"seo, Marketing, Research, Hydrology, Email, Outlook, Administration, Sharepoint, Foreign Policy",6
Global Criminal Justice (GCJ),female,GS 15,Tina Gonsalves   ,"Disease Response, Chinese, Interagency, Government, Human Resources",16
Director General of the Foreign Service and Director of Human Resources (DGHR),female,N/A, Brinton     ,"Disease Response, Leadership",3
"Policy, Planning, and Resources for Public Diplomacy and Public Affairs (PPR)",female,GS-15,Mozella Luke,"Government, French, budget, Healthcare, operations",23
Diplomatic Security (DS),female,FS 3,Margaret Campbell,"Powerpoint, Network Security, Leadership, Cloud Computing",4
International Security and Nonproliferation (ISN),female,GS-13,Ana Bell     ,"Outlook, Management, Sharepoint, research, Government, Social Media, Web Development, graphics, foreign policy",24
Legislative Affairs (H),female,N/A,Adrienne Henry   ,"Graphics, engineering, SEO, Excel, disaster response",15
Western Hemisphere Affairs (WHA),female,GS-10,Tracey Hill,"Healthcare, engineering, Budget, Research",25
Global AIDS Coordinator (S/GAC),male,FS-7,Robert Antle,Outlook,10
Global AIDS Coordinator (S/GAC),female,FS-1,     Brenda Akins,Editing,12
African Affairs (AF),female,FS-5,Constance Parker,"Outlook, marketing, Foreign Policy, french, german, Editing, Visualization, portuguese, Interagency",1
Economic and Business Affairs (EB),male,GS-15,Glen Harris,"Spanish, Budget, Email",22
East Asian and Pacific Affairs (EAP),male,FS-8,Allen Reep,Editing,4
Science & Technology Adviser (STAS),female,GS-8,  Reason     ,"Sharepoint, Tourism, Web Development, Social Media, Foreign Policy, leadership, Communications, outlook, editing",19
International Security and Nonproliferation (ISN),female,GS12,Patricia Alexander,"Editing, Management, Hydrology, Graphics, Training, Web Development, healthcare, operations, Powerpoint, Chinese, economics, Climatology",3
Information Resource Management (IRM),female,GS-11,    Deborah Lucas,"healthcare, portuguese, tourism, Training, Web Development",6
Inspector General (OIG),male,N/A,Bill Hart,Excel,7
International Information Programs (IIP),female,N/A,    Laura Obryon,"Editing, Excel, French, sharepoint",20
Allowances (A/OPR/ALS),female,FS-7,   Elma Bearden,"disease response, Training, Graphics",11
Human Resources (DGHR),male,GS-15,Winston Piccard,,17
Comptroller and Global Financial Services (CGFS),female,N/A,Kathy Desmond     ,"Social Media, Disaster Response, Outlook, excel, healthcare, Planning, Human Resources, Cloud Computing, Marketing",9
European and Eurasian Affairs (EUR),female,GS-7,Darlene Bland  ,"Powerpoint, Network Security, seo, editing, foreign policy, Climatology, IT, Administration, Graphics, Tourism, Communications",6
East Asian and Pacific Affairs (EAP),male,N/A,Donald Dishman,"Design, Hydrology, planning, Communications, Marketing, Government, network security, editing",23
Energy Resources (ENR),male,N/A,Kevin Prideaux,,25
Overseas Buildings Operations (OBO),male,FS9, Robert Louviere,"Visualization, Budget",17
"Management Policy, Rightsizing and Innovation (PRI)",male,N/A,Shea  ,,9
East Asian and Pacific Affairs (EAP),female,N/A,Guadalupe Vargo,"Graphics, Chinese, design, Administration, management, Cloud Computing, network security, social media, german, Portuguese",5
Conflict and Stabilization Operations (CSO),male,FS-4,Vincent Phillis,"Engineering, Healthcare, portuguese, Government, cloud computing, Marketing, spanish, Foreign Policy, Leadership, Social Media, network security, graphics",12
Protocol (S/CPR),male,N/A,Jorge Densmore   ,"Excel, Research, Economics, Finance, sharepoint, chinese, Management",24
Mission to the United Nations (USUN),female,GS-11,Karen Slaughter,"SEO, editing, Sharepoint, outlook, Communications, Portuguese, Foreign Policy, research, Economics, Education, chinese, Administration",1
African Affairs (AF),male,FS-9,  Dulac,"Graphics, powerpoint, Budget, Chinese, Research, Email, Cloud Computing, Communications, Portuguese",8
Budget and Planning (BP),male,GS-9,Alfonso Johnson,"Finance, Human Resources, Data Analysis, Tourism, Design",3
South and Central Asian Affairs (SCA),male,FS-5,David Freeman,"Outlook, Finance, Marketing, foreign policy, IT, Japanese",1
Human Resources (DGHR),male,GS-14,Raymond Lee   ,"Marketing, Editing, German, Web Development, Hydrology, Powerpoint, social media, portuguese",6
Chief Information Officer (CIO),male,GS-12,Robert Watson,"disaster response, Web Development, Healthcare, communications, social media, planning, Leadership, Sharepoint, IT, Japanese, economics, Marketing",12
Human Resources (DGHR),male,GS 10,Paul Strause,"Design, Interagency, Powerpoint, tourism, Social Media",21
Foreign Assistance (F),male,FS-6,Jacob Ross    ,"Disease Response, human resources, chinese, Design, outlook, cloud computing, Network Security",14
African Affairs (AF),male,GS-13,Garrett Walker,,4
"Policy, Planning, and Resources for Public Diplomacy and Public Affairs (PPR)",female,SFS-5,Dorothy Russell,Japanese,18
Administration (A),male,FS-5,Robert Phillips,"Budget, Government, French, Social Media, finance, Leadership, Visualization, Tourism, Design, Sharepoint",4
Foreign Missions (OFM),female,FS 3,  Linda Temblador,"Spanish, Disease Response, Social Media, Communications, Sharepoint, Climatology, Research, Administration, Economics, IT, chinese",2
Director General of the Foreign Service and Director of Human Resources (DGHR),female,N/A,Eula Robinson     ,"Disease Response, Spanish, management, Finance, Network Security, Interagency, Climatology, Outlook, Editing, Writing, Communications",22
Foreign Missions (OFM),female,FS-6,Elizabeth Hopf,"Tourism, SEO, Cloud Computing, Japanese, Social Media, Finance, Budget, leadership",11
Mission to the United Nations (USUN),male,FS 8,Walter Frank     ,"Spanish, engineering, tourism, Social Media, climatology, Healthcare, leadership, Administration",9
Inspector General (OIG),male,N/A,    Donald Baker  ,,19
Near Eastern Affairs (NEA),female,FS-2,Kelly Farmer,"Finance, portuguese, Training",22
Near Eastern Affairs (NEA),female,GS-13,Kathrine Posada     ,"Economics, budget, Management, Leadership, Marketing, healthcare, email, german, Network Security, Hydrology, Government",7
Consular Affairs (CA),female,N/A,Melissa Kosse,"training, Editing",8
Conflict and Stabilization Operations (CSO),male,N/A,Dale Larsen,"management, Training, Finance, Interagency, Tourism, Network Security, Chinese",19
Global Youth Issues (GYI),male,FS-7,Charles Novack,"Email, Administration, tourism, Portuguese",8
Global Youth Issues (GYI),female,FS-8,Lucille Martin,"social media, Operations, SEO, planning, climatology, tourism, Web Development",8
Near Eastern Affairs (NEA),male,SES-4,Chuck Blackburn,Graphics,19
Overseas Buildings Operations (OBO),male,SFS-3,Robert Stangle ,"Interagency, Portuguese, Administration, Cloud Computing, Powerpoint",22
Legal Adviser (L),male,SES2,    John Arvizu,"Finance, Spanish, Network Security, Hydrology, disaster response, web development",25
International Security and Nonproliferation (ISN),male,GS13,Willis Johnson,"it, SEO, government, Data Analysis, Healthcare, Graphics, Outlook, Excel, Visualization, disease response, finance, Engineering",24
Intelligence and Research (INR),female,GS-15,Vivian Biddle ,"it, Portuguese, Editing, Cloud Computing, marketing, Human Resources, Visualization",14
Foreign Service Institute (FSI),male,FS-6,Allen Bossler,"Foreign Policy, German, graphics, Training, Design, Network Security",25
Oceans and International Environmental and Scientific Affairs(OES),female,GS-13,Diana Davison    ,"management, leadership, economics, Tourism, Writing, Graphics, Hydrology, Email, portuguese",6
African Affairs (AF),male,FS-4,George Collins  ,"Human Resources, Finance, disaster response, IT, economics, engineering, Communications, seo, Operations",10
Global Engagement Center(GEC),male,FS-6,Tomas Walters     ,"Hydrology, spanish, Climatology, Disaster Response, excel, Editing, Network Security, Design, training",9
Allowances (A/OPR/ALS),male,N/A,Joseph Jamieson     ,"Hydrology, Government, Network Security, Web Development, Operations, Leadership, french",4
"Management Policy, Rightsizing and Innovation (PRI)",male,GS-15,Rayner,"Operations, seo, Sharepoint, Education, Graphics, Research, Excel, Visualization, climatology, Interagency, Healthcare",14
Trafficking in Persons (TIP),female,GS-12,Phyllis Lettinga     ,"Graphics, Spanish, editing, Marketing, Education, Planning",5
East Asian and Pacific Affairs (EAP),male,GS-8,  John Perez,"Marketing, portuguese",6
Human Resources (DGHR),male,FS-6, Justin Sloan,"Japanese, marketing, human resources, communications",1
Foreign Service Institute (FSI),male,GS14, Federico Askew,,19
Oceans and International Environmental and Scientific Affairs(OES),male,FS9,Brad Rodriguez ,"communications, Administration, Network Security, planning, japanese, Email, Economics, Education, Research, hydrology, Engineering",23
European and Eurasian Affairs (EUR),male,N/A,Richard Williams,"budget, administration, data analysis, Education, Operations, Foreign Policy",20
Inspector General (OIG),male,N/A,White ,"Visualization, Powerpoint, Disease Response",23
Legal Adviser (L),female,FS9,Donna Smith,"engineering, Operations, IT, finance, Portuguese, Planning, Disease Response, Japanese",1
Global Engagement Center(GEC),female,FS 2,Cynthia Agnew     ,"Climatology, Engineering, Outlook, seo, human resources, Education, excel, chinese, Communications",2
Conflict and Stabilization Operations (CSO),female,N/A,Carol Wells,"SEO, Chinese, Marketing, Design, research, Administration",22
Allowances (A/OPR/ALS),male,FS-2,George Reuter     ,Economics,23
"Arms Control, Verification and Compliance (AVC)",female,N/A,Diana Chen,"Web Development, Outlook, Hydrology, Research, visualization",24
International Narcotics and Law Enforcement Affairs (INL),male,FS-6,James Wolfe,Management,14
Near Eastern Affairs (NEA),female,N/A,Mary Payne,"Disease Response, Interagency, Tourism, Powerpoint, Visualization, Network Security",23
"Arms Control, Verification and Compliance (AVC)",female,N/A,    Diane Hall  ,"Japanese, Human Resources, data analysis, Government",18
Western Hemisphere Affairs (WHA),female,SFS-4,Gladys Vandehey,"Research, Engineering",18
Foreign Assistance (F),female,FS-1,Yvonne Russell,Management,11
African Affairs (AF),male,GS-15,Strebe,"Finance, spanish, Foreign Policy, Portuguese, Tourism, Government, excel, Research, Healthcare, Powerpoint",3
"Democracy, Human Rights, and Labor (DRL)",male,GS-11,    Hubert Martinez,"leadership, Data Analysis, French, Foreign Policy, Outlook, Healthcare, Social Media, Powerpoint, disaster response",10
"Policy, Planning, and Resources for Public Diplomacy and Public Affairs (PPR)",male,FS-3,  James Culbertson,social media,9
International Narcotics and Law Enforcement Affairs (INL),female,GS-10,Dopler    ,"portuguese, Tourism, budget, Human Resources",14
South and Central Asian Affairs (SCA),male,GS-11, Richard Mckie,"Economics, Design, Education, Disease Response, Disaster Response",1
Diplomatic Security (DS),female,N/A,Jessica Venice ,"Administration, Healthcare, network security",1
Counterterrorism (CT),male,N/A,Corey Tvedt,"Writing, SEO, management, administration, Planning, Network Security, Powerpoint, japanese, Economics, social media",4
Foreign Assistance (F),male,GS-15,  Joe Gard,"Visualization, Government, Writing, Economics, Graphics, cloud computing, Portuguese, Editing, Training, Japanese",20
Global Engagement Center(GEC),female,FS-3,     Dorothy Badanguio    ,"education, design, Graphics, data analysis, Spanish, management, economics, leadership, visualization",1
South and Central Asian Affairs (SCA),male,FS-2,Larry Venable,"design, Human Resources, Education, Portuguese, Economics",9
Energy Resources (ENR),male,GS8,  Don Gonzales,"Hydrology, Economics, excel, Research, Interagency, writing, Healthcare, French, Powerpoint, Disease Response",15
Administration (A),male,FS-9,Douglas Micciche,"email, Excel, sharepoint, Powerpoint, Research, Cloud Computing, visualization, Portuguese, SEO",9
Global Criminal Justice (GCJ),male,FS-3,    Jose Osborne   ,"Healthcare, Research",20
Intelligence and Research (INR),female,GS-10,Barron,"IT, Powerpoint, French, Data Analysis, Research",18
